DateKey,Date,Day,WeekNo,Month,ShortMonth,Month_no,quarter,year
20190101,2019-01-01,Tuesday,1,January,Jan,1,1,2019
20190102,2019-01-02,Wednesday,1,January,Jan,1,1,2019
20190103,2019-01-03,Thursday,1,January,Jan,1,1,2019
20190104,2019-01-04,Friday,1,January,Jan,1,1,2019
20190105,2019-01-05,Saturday,1,January,Jan,1,1,2019
20190106,2019-01-06,Sunday,2,January,Jan,1,1,2019
20190107,2019-01-07,Monday,2,January,Jan,1,1,2019
20190108,2019-01-08,Tuesday,2,January,Jan,1,1,2019
20190109,2019-01-09,Wednesday,2,January,Jan,1,1,2019
20190110,2019-01-10,Thursday,2,January,Jan,1,1,2019
20190111,2019-01-11,Friday,2,January,Jan,1,1,2019
20190112,2019-01-12,Saturday,2,January,Jan,1,1,2019
20190113,2019-01-13,Sunday,3,January,Jan,1,1,2019
20190114,2019-01-14,Monday,3,January,Jan,1,1,2019
20190115,2019-01-15,Tuesday,3,January,Jan,1,1,2019
20190116,2019-01-16,Wednesday,3,January,Jan,1,1,2019
20190117,2019-01-17,Thursday,3,January,Jan,1,1,2019
20190118,2019-01-18,Friday,3,January,Jan,1,1,2019
20190119,2019-01-19,Saturday,3,January,Jan,1,1,2019
20190120,2019-01-20,Sunday,4,January,Jan,1,1,2019
20190121,2019-01-21,Monday,4,January,Jan,1,1,2019
20190122,2019-01-22,Tuesday,4,January,Jan,1,1,2019
20190123,2019-01-23,Wednesday,4,January,Jan,1,1,2019
20190124,2019-01-24,Thursday,4,January,Jan,1,1,2019
20190125,2019-01-25,Friday,4,January,Jan,1,1,2019
20190126,2019-01-26,Saturday,4,January,Jan,1,1,2019
20190127,2019-01-27,Sunday,5,January,Jan,1,1,2019
20190128,2019-01-28,Monday,5,January,Jan,1,1,2019
20190129,2019-01-29,Tuesday,5,January,Jan,1,1,2019
20190130,2019-01-30,Wednesday,5,January,Jan,1,1,2019
20190131,2019-01-31,Thursday,5,January,Jan,1,1,2019
20190201,2019-02-01,Friday,5,February,Feb,2,1,2019
20190202,2019-02-02,Saturday,5,February,Feb,2,1,2019
20190203,2019-02-03,Sunday,6,February,Feb,2,1,2019
